0.0250	0.0810
0.034	0.0474
0.0157	0.0390
0.0411	0.4220
0.117	0.3009
0.0298	0.0770
0.171	0.2393
0.079	0.2468
0.148	0.2045
0.0310	0.1390
0.0410	0.1870
0.0590	0.2050
0.0096	0.0450
0.0890	0.1600
0.0590	0.2050
0.0609	0.1870
0.0070	0.0090
0.0340	0.0680
0.149	0.2042
0.0411	0.4220
0.0600	0.1200
0.117	0.3009
0.0298	0.0770
0.171	0.2393
0.079	0.2468
0.0431	0.0647
0.092	0.1969
0.0078	0.1200
0.092	0.1969
0.0156	0.0520
0.08	0.2016
0.0053	0.0070
0.08	0.2016
0.043	0.1248
0.0168	0.0320
0.0666	0.0760
0.0039	0.0630
0.0644	0.0700
0.071	0.0929
0.0140	0.0610
0.059	0.2164
0.0043	0.0200
0.0218	0.0370
0.0120	0.0590
0.0218	0.0370
0.0541	0.1220
0.05	0.0902
0.02	0.0422
0.0580	0.0850
0.05	0.0725
0.0610	0.1660
0.126	0.2384
0.1260	0.5090
0.0940	0.4400
0.3430	0.3980
0.0580	0.0850
0.05	0.0725
0.0610	0.1660
0.126	0.2384
0.1260	0.5090
0.0940	0.4400
0.3430	0.3980
0.0050	0.0290
0.002	0.0050
0.05	0.0860
0.004	0.0150
0.0050	0.0610
0.07	0.1190
0.0090	0.0120
0.024	0.1030
0.0020	0.0030
0.0090	0.1200
0.002	0.0050
0.05	0.0860
0.004	0.0150
0.0050	0.0610
0.07	0.1190
0.0090	0.0120
