0.0144	0.0117
0.0061	0.0055
0.0044	0.0038
0.0038	0.0016
0.0012	0.0012
0.0013	0.0013
0.0013	0.0013
0.0009	0.0006
0.0012	0.0012
0.0040	0.0030
0.0020	0.0020
0.0025	0.0025
0.0117	0.0113
0.0040	0.0030
0.0025	0.0025
0.0020	0.0020
0.0113	0.0111
0.0044	0.0031
0.0012	0.0012
0.0031	0.0025
0.0025	0.0016
0.0012	0.0012
0.0013	0.0013
0.0013	0.0013
0.0009	0.0006
0.0111	0.0093
0.0013	0.0013
0.0093	0.0092
0.0013	0.0013
0.0092	0.0089
0.0014	0.0014
0.0089	0.0088
0.0014	0.0014
0.0088	0.0067
0.0030	0.0029
0.0024	0.0024
0.0020	0.0020
0.0020	0.0020
0.0014	0.0014
0.0067	0.0066
0.0035	0.0035
0.0066	0.0065
0.0024	0.0024
0.0065	0.0064
0.0028	0.0028
0.0064	0.0058
0.0019	0.0019
0.0058	0.0053
0.0040	0.0037
0.0025	0.0025
0.0030	0.0028
0.0019	0.0019
0.0028	0.0021
0.0021	0.0011
0.0010	0.0010
0.0040	0.0037
0.0025	0.0025
0.0030	0.0028
0.0019	0.0019
0.0028	0.0021
0.0021	0.0011
0.0010	0.0010
0.0015	0.0015
0.0010	0.0010
0.0009	0.0009
0.0007	0.0007
0.0018	0.0018
0.0013	0.0013
0.0011	0.0011
0.0011	0.0011
0.0007	0.0007
0.0011	0.0011
0.0010	0.0010
0.0009	0.0009
0.0007	0.0007
0.0018	0.0018
0.0013	0.0013
0.0011	0.0011
